Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
СРБ-Б-04-Д-2023-1;Сб;14.12.2024;15.30 - 17.00;Социальная педагогика;Практическое занятие;Короткевич Татьяна Николаевна;316
СРБ-Б-04-Д-2023-1;Сб;14.12.2024;17.10 - 18.40;Основы социально-реабилитационной работы;Лекция;Короткевич Татьяна Николаевна;316
ЮСТ-Б-2-Д-2023-1;Сб;14.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Сб;14.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-04-В-2023-1;Сб;14.12.2024;08.30 - 10.00;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;154
ПСИ-Б-04-В-2023-1;Сб;14.12.2024;10.10 - 11.40;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;154
ПСИ-Б-04-В-2023-1;Сб;14.12.2024;12.10 - 13.40;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;154
ПСИ-Б-04-В-2023-1;Сб;14.12.2024;13.50 - 15.20;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;154
ПСИ-Б-04-В-2023-1;Сб;14.12.2024;15.30 - 17.00;Человек и его права в контексте современной реальности;Практическое занятие;Игнатовец Людмила Михайловна;154
ПСИ-М-9-В-2023-1;Сб;14.12.2024;08.30 - 10.00;Социально-психологическая практика работы с семьей;Практическое занятие;Азарёнок Наталья Валерьевна;205
ПСИ-М-9-В-2023-1;Сб;14.12.2024;10.10 - 11.40;Социально-психологическая практика работы с семьей;Практическое занятие;Азарёнок Наталья Валерьевна;205
ПСИ-М-9-В-2023-1;Сб;14.12.2024;12.10 - 13.40;Практика психологического консультирования;Практическое занятие;Щерба Татьяна Александровна;205
ПСИ-М-9-В-2023-1;Сб;14.12.2024;13.50 - 15.20;Практика психологического консультирования;Практическое занятие;Щерба Татьяна Александровна;205
ПСИ-Б-04-Д-2024-1;Сб;14.12.2024;08.30 - 10.00;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;104
ПСИ-Б-04-Д-2024-1;Сб;14.12.2024;10.10 - 11.40;Философия;Практическое занятие;Торканевский Андрей Анатольевич;104
ПСИ-Б-04-Д-2024-1;Сб;14.12.2024;12.10 - 13.40;Экономика;Практическое занятие;Корнелюк Наталья Николаевна;104
ПСИ-Б-04-Д-2024-2;Сб;14.12.2024;10.10 - 11.40;Экономика;Практическое занятие;Корнелюк Наталья Николаевна;316
ПСИ-Б-04-Д-2024-2;Сб;14.12.2024;12.10 - 13.40;Философия;Практическое занятие;Торканевский Андрей Анатольевич;101
ПСИ-Б-04-Д-2024-2;Сб;14.12.2024;13.50 - 15.20;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;101
СРБ-Б-04-Д-2024-1;Сб;14.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
СРБ-Б-04-Д-2024-1;Сб;14.12.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
СРБ-Б-04-Д-2024-1;Сб;14.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Омелюсик Василий Андреевич;209
СРБ-Б-04-Д-2024-1;Сб;14.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Омелюсик Василий Андреевич;209
ЮСТ-Б-2-Д-2024-1;Сб;14.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2024-1;Сб;14.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2024-2;Сб;14.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ЮСТ-Б-2-Д-2024-2;Сб;14.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-М-5-Д-2024-1;Сб;14.12.2024;08.30 - 10.00;Введение в маркетинг;Практическое занятие;Стрижевич Александра Сергеевна;202
МЕН-М-5-Д-2024-1;Сб;14.12.2024;10.10 - 11.40;Введение в маркетинг;Практическое занятие;Стрижевич Александра Сергеевна;202
МЕН-М-5-Д-2024-1;Сб;14.12.2024;12.10 - 13.40;Иностранный язык академического и профессионального взаимодействия;Практическое занятие;Наумова Анна Владимировна;202
МЕН-М-5-Д-2024-1;Сб;14.12.2024;13.50 - 15.20;Управление проектами и программами;Практическое занятие;Ворошилина Наталья Николаевна;202
ПСИ-Б-04-В-2024-1;Сб;14.12.2024;08.30 - 10.00;Психологический аспект кадрового менеджмента в информационной среде;Практическое занятие;Саболевский Илья Русланович;219
ПСИ-Б-04-В-2024-1;Сб;14.12.2024;10.10 - 11.40;Введение в аналитические исследования информационных ресурсов;Практическое занятие;Федотова Ольга Михайловна;219
ПСИ-Б-04-В-2024-1;Сб;14.12.2024;12.10 - 13.40;Основы противодействия коррупции;Практическое занятие;Свило Светлана Михайловна;219
ПСИ-Б-04-В-2024-1;Сб;14.12.2024;13.50 - 15.20;Основы российской государственности;Практическое занятие;Козик Любовь Антоновна;219
ПСИ-Б-04-В-2024-2;Сб;14.12.2024;08.30 - 10.00;Введение в аналитические исследования информационных ресурсов;Практическое занятие;Федотова Ольга Михайловна;156
ПСИ-Б-04-В-2024-2;Сб;14.12.2024;10.10 - 11.40;Психологический аспект кадрового менеджмента в информационной среде;Практическое занятие;Саболевский Илья Русланович;156
ПСИ-Б-04-В-2024-2;Сб;14.12.2024;12.10 - 13.40;Основы российской государственности;Практическое занятие;Козик Любовь Антоновна;156
ПСИ-Б-04-В-2024-2;Сб;14.12.2024;13.50 - 15.20;Основы противодействия коррупции;Практическое занятие;Свило Светлана Михайловна;156
ПСИ-М-9-В-2024-1;Сб;14.12.2024;08.30 - 10.00;Возрастная психология 21 века;Практическое занятие;Сутович Елена Иосифовна;406
ПСИ-М-9-В-2024-1;Сб;14.12.2024;10.10 - 11.40;Иностранный язык академического и профессионального взаимодействия;Практическое занятие;Наумова Анна Владимировна;406
ПСИ-М-9-В-2024-1;Сб;14.12.2024;12.10 - 13.40;Современная социальная психология;Практическое занятие;Азарёнок Наталья Валерьевна;406
ПСИ-М-9-В-2024-1;Сб;14.12.2024;13.50 - 15.20;Современная социальная психология;Практическое занятие;Азарёнок Наталья Валерьевна;406
МЕН-Б-2-В-2021-1;Сб;14.12.2024;08.30 - 10.00;Организационный менеджмент;Практическое занятие;Врублевская-Токер Татьяна Ивановна;401
МЕН-Б-2-В-2021-1;Сб;14.12.2024;10.10 - 11.40;Организационный менеджмент;Практическое занятие;Врублевская-Токер Татьяна Ивановна;401
МЕН-Б-2-В-2021-1;Сб;14.12.2024;12.10 - 13.40;Маркетинговые коммуникации;Практическое занятие;Врублевская-Токер Татьяна Ивановна;401
МЕН-Б-2-В-2021-1;Сб;14.12.2024;13.50 - 15.20;Инновационный менеджмент;Практическое занятие;Нарвойш Юлия Александровна;401
МЕН-Б-2-Д-2021-1;Сб;14.12.2024;08.30 - 10.00;Управление продажами;Практическое занятие;Андрейковец Дмитрий Кузьмич;212
МЕН-Б-2-Д-2021-1;Сб;14.12.2024;10.10 - 11.40;Управление продажами;Практическое занятие;Андрейковец Дмитрий Кузьмич;212
МЕН-Б-2-Д-2021-1;Сб;14.12.2024;12.10 - 13.40;Проектная деятельность;Иная контактная работа;Сретенский Никита Сергеевич;315
МЕН-Б-3-Д-2023-2;Сб;14.12.2024;12.10 - 13.40;Тайм-менеджмент в проектной деятельности;Практическое занятие;Нарвойш Юлия Александровна;212
МЕН-Б-3-Д-2023-2;Сб;14.12.2024;13.50 - 15.20;Деловое общение;Практическое занятие;Саболевский Илья Русланович;212
МЕН-Б-3-Д-2023-2;Сб;14.12.2024;15.30 - 17.00;Проектная деятельность;Практическое занятие;Михолап Сергей Владимирович;212
ПСИ-Б-04-Д-2023-2;Сб;14.12.2024;10.10 - 11.40;Основы киберпсихологии;Практическое занятие;Шлимаков Максим Сергеевич;312
ПСИ-Б-04-Д-2023-2;Сб;14.12.2024;12.10 - 13.40;Введение в конфликтологию;Практическое занятие;Хомич Нина Кондратьевна;312
ЮСТ-Б-2-Д-2023-2;Сб;14.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Сб;14.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-04-В-2023-2;Сб;14.12.2024;08.30 - 10.00;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;103
ПСИ-Б-04-В-2023-2;Сб;14.12.2024;10.10 - 11.40;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;103
ПСИ-Б-04-В-2023-2;Сб;14.12.2024;12.10 - 13.40;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;103
ПСИ-Б-04-В-2023-2;Сб;14.12.2024;13.50 - 15.20;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;103
МЕН-Б-3-Д-2022-2;Сб;14.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2022-2;Сб;14.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Сб;14.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Сб;14.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
СРБ-Б-04-В-2022-1;Сб;14.12.2024;08.30 - 10.00;Социальное предпринимательство;Практическое занятие;Ворошилина Наталья Николаевна;404
СРБ-Б-04-В-2022-1;Сб;14.12.2024;10.10 - 11.40;Социальное предпринимательство;Практическое занятие;Ворошилина Наталья Николаевна;404
СРБ-Б-04-В-2022-1;Сб;14.12.2024;12.10 - 13.40;Этические основы социальной работы;Лекция;Игнатовец Людмила Михайловна;404
СРБ-Б-04-В-2022-1;Сб;14.12.2024;13.50 - 15.20;Технологии социальной работы;Практическое занятие;Сретенский Никита Сергеевич;404
ПСИ-Б-01-Д-2022-2;Пт;29.11.2024;10.10 - 11.40;Психодиагностика. Экспериментальные и прикладные методы в исследовательской и консультационной практике;Практическое занятие;Ковальчишина Наталья Ивановна;214
ПСИ-Б-01-Д-2022-2;Пт;29.11.2024;12.10 - 13.40;Прикладные исследования и психодиагностика в организации;Практическое занятие;Сутович Елена Иосифовна;214
ПСИ-Б-01-Д-2022-2;Пт;29.11.2024;13.50 - 15.20;История психологии;Практическое занятие;Шлимаков Максим Сергеевич;214
МЕН-Б-3-Д-2023-1;Пт;29.11.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Пт;29.11.2024;15.30 - 17.00;Деловое общение;Практическое занятие;Саболевский Илья Русланович;203
МЕН-Б-3-Д-2023-1;Пт;29.11.2024;17.10 - 18.40;Правовые основы экономико-управленческой деятельности;Практическое занятие;Пыталев Роман Михайлович;203
МЕН-Б-3-Д-2023-1;Пт;29.11.2024;18.50 - 20.20;Правовые основы экономико-управленческой деятельности;Практическое занятие;Пыталев Роман Михайлович;203
МЕН-Б-3-Д-2023-1;Пт;29.11.2024;20.30 - 22.00;Иностранный язык (1 подгруппа);Практическое занятие;Максименко Анна Маратовна;203
МЕН-Б-3-Д-2023-1;Пт;29.11.2024;20.30 - 22.00;Иностранный язык (2 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;405
ПСИ-Б-04-Д-2023-1;Пт;29.11.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Пт;29.11.2024;15.30 - 17.00;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;315
ПСИ-Б-04-Д-2023-1;Пт;29.11.2024;17.10 - 18.40;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;315
ПСИ-Б-04-Д-2023-1;Пт;29.11.2024;18.50 - 20.20;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
ПСИ-Б-04-Д-2023-1;Пт;29.11.2024;20.30 - 22.00;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
СРБ-Б-04-Д-2023-1;Пт;29.11.2024;13.50 - 15.20;Практическая социология;Практическое занятие;Сретенский Никита Сергеевич;316
СРБ-Б-04-Д-2023-1;Пт;29.11.2024;15.30 - 17.00;Практическая социология;Практическое занятие;Сретенский Никита Сергеевич;316
СРБ-Б-04-Д-2023-1;Пт;29.11.2024;17.10 - 18.40;Этические основы социальной работы;Практическое занятие;Игнатовец Людмила Михайловна;316
СРБ-Б-04-Д-2023-1;Пт;29.11.2024;18.50 - 20.20;Этические основы социальной работы;Практическое занятие;Игнатовец Людмила Михайловна;316
СРБ-Б-04-Д-2023-1;Пт;29.11.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Пт;29.11.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-1;Пт;29.11.2024;13.50 - 15.20;Административное право;Лекция;Климченя Вячеслав Сергеевич;219
ЮСТ-Б-2-Д-2023-1;Пт;29.11.2024;15.30 - 17.00;Административное право;Практическое занятие;Климченя Вячеслав Сергеевич;103
ЮСТ-Б-2-Д-2023-1;Пт;29.11.2024;17.10 - 18.40;Международное право;Практическое занятие;Бочарова Ольга Станиславовна;103
ЮСТ-Б-2-Д-2023-1;Пт;29.11.2024;18.50 - 20.20;Иностранный язык (1 подгруппа);Практическое занятие;Максименко Анна Маратовна;212
МЕН-М-5-Д-2023-1;Пт;29.11.2024;12.10 - 13.40;Нейромаркетинг;Практическое занятие;Пакштайте Виолета Валентиновна;202
МЕН-М-5-Д-2023-1;Пт;29.11.2024;13.50 - 15.20;Нейромаркетинг;Практическое занятие;Пакштайте Виолета Валентиновна;202
МЕН-Б-3-Д-2024-1;Пт;29.11.2024;10.10 - 11.40;Деловое общение;Практическое занятие;Саболевский Илья Русланович;405
МЕН-Б-3-Д-2024-1;Пт;29.11.2024;12.10 - 13.40;Экономическая теория;Практическое занятие;Корнелюк Наталья Николаевна;405
МЕН-Б-3-Д-2024-1;Пт;29.11.2024;13.50 - 15.20;Социология;Практическое занятие;Андрейковец Елена Михайловна;405
МЕН-Б-3-Д-2024-1;Пт;29.11.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
МЕН-Б-3-Д-2024-2;Пт;29.11.2024;08.30 - 10.00;Философия;Практическое занятие;Торканевский Андрей Анатольевич;316
МЕН-Б-3-Д-2024-2;Пт;29.11.2024;10.10 - 11.40;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;101
МЕН-Б-3-Д-2024-2;Пт;29.11.2024;12.10 - 13.40;Деловое общение;Практическое занятие;Саболевский Илья Русланович;101
МЕН-Б-3-Д-2024-2;Пт;29.11.2024;13.50 - 15.20;Экономическая теория;Практическое занятие;Корнелюк Наталья Николаевна;101
МЕН-Б-3-Д-2024-2;Пт;29.11.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2024-1;Пт;29.11.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2024-1;Пт;29.11.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Вальтер Валерия Яновна;209
ПСИ-Б-04-Д-2024-1;Пт;29.11.2024;10.10 - 11.40;Зоопсихология и сравнительная психология;Лекция;Фищук Юлия Сергеевна;312
ПСИ-Б-04-Д-2024-1;Пт;29.11.2024;12.10 - 13.40;Зоопсихология и сравнительная психология;Лекция;Фищук Юлия Сергеевна;312
ПСИ-Б-04-Д-2024-1;Пт;29.11.2024;13.50 - 15.20;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;312
ПСИ-Б-04-Д-2024-1;Пт;29.11.2024;15.30 - 17.00;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;312
ПСИ-Б-04-Д-2024-2;Пт;29.11.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2024-2;Пт;29.11.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Вальтер Валерия Яновна;209
ПСИ-Б-04-Д-2024-2;Пт;29.11.2024;10.10 - 11.40;Зоопсихология и сравнительная психология;Лекция;Фищук Юлия Сергеевна;312
ПСИ-Б-04-Д-2024-2;Пт;29.11.2024;12.10 - 13.40;Зоопсихология и сравнительная психология;Лекция;Фищук Юлия Сергеевна;312
ПСИ-Б-04-Д-2024-2;Пт;29.11.2024;13.50 - 15.20;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;312
ПСИ-Б-04-Д-2024-2;Пт;29.11.2024;15.30 - 17.00;Эмоционально-волевое регулирование деятельности и общения;Лекция;Семёнова Елена Михайловна;312
СРБ-Б-04-Д-2024-1;Пт;29.11.2024;08.30 - 10.00;Информатика и основы информационно-коммуникационных технологий (1 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;406
СРБ-Б-04-Д-2024-1;Пт;29.11.2024;10.10 - 11.40;Философия;Лекция;Торканевский Андрей Анатольевич;154
СРБ-Б-04-Д-2024-1;Пт;29.11.2024;12.10 - 13.40;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;154
СРБ-Б-04-Д-2024-1;Пт;29.11.2024;13.50 - 15.20;Русский язык и культура речи;Лекция;Самусевич Ольга Михайловна;154
СРБ-Б-04-Д-2024-1;Пт;29.11.2024;15.30 - 17.00;История социальной работы;Лекция;Ершова Ольга Игоревна;154
СРБ-Б-04-Д-2024-1;Пт;29.11.2024;17.10 - 18.40;Информатика и основы информационно-коммуникационных технологий (2 подгруппа);Лабораторная работа;Бабинский Дмитрий Валерьевич;406
ЮСТ-Б-2-Д-2024-1;Пт;29.11.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2024-1;Пт;29.11.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;143 Спортивный зал
ЮСТ-Б-2-Д-2024-1;Пт;29.11.2024;12.10 - 13.40;Теория государства и права;Лекция;Богатко Анна Григорьевна;104
ЮСТ-Б-2-Д-2024-1;Пт;29.11.2024;13.50 - 15.20;Теория государства и права;Лекция;Богатко Анна Григорьевна;104
ЮСТ-Б-2-Д-2024-1;Пт;29.11.2024;15.30 - 17.00;Теория государства и права;Практическое занятие;Богатко Анна Григорьевна;204
ЮСТ-Б-2-Д-2024-2;Пт;29.11.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2024-2;Пт;29.11.2024;10.10 - 11.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;143 Спортивный зал
ЮСТ-Б-2-Д-2024-2;Пт;29.11.2024;12.10 - 13.40;Теория государства и права;Лекция;Богатко Анна Григорьевна;104
ЮСТ-Б-2-Д-2024-2;Пт;29.11.2024;13.50 - 15.20;Теория государства и права;Лекция;Богатко Анна Григорьевна;104
ЮСТ-Б-2-Д-2024-2;Пт;29.11.2024;15.30 - 17.00;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;104
ЮСТ-Б-2-Д-2024-2;Пт;29.11.2024;17.10 - 18.40;Теория государства и права;Практическое занятие;Богатко Анна Григорьевна;104
МЕН-М-5-Д-2024-1;Пт;29.11.2024;10.10 - 11.40;Управление человеческими ресурсами;Лекция;Пакштайте Виолета Валентиновна;202
МЕН-М-5-Д-2024-1;Пт;29.11.2024;12.10 - 13.40;Маркетинговые исследования;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
МЕН-М-5-Д-2024-1;Пт;29.11.2024;13.50 - 15.20;Маркетинговые исследования;Практическое занятие;Врублевская-Токер Татьяна Ивановна;202
МЕН-М-5-Д-2024-1;Пт;29.11.2024;15.30 - 17.00;Управление бизнес-процессами и организационное проектирование;Лекция;Корнелюк Наталья Николаевна;202
МЕН-Б-2-Д-2021-1;Пт;29.11.2024;15.30 - 17.00;Предпринимательство;Практическое занятие;Кондратьева Тамара Николаевна;214
МЕН-Б-2-Д-2021-1;Пт;29.11.2024;17.10 - 18.40;Предпринимательство;Практическое занятие;Кондратьева Тамара Николаевна;214
СРБ-Б-04-З-2021-1;Пт;29.11.2024;15.30 - 17.00;Прогнозирование, проектирование и моделирование в социальной работе;Лекция;Игнатовец Людмила Михайловна;221
СРБ-Б-04-З-2021-1;Пт;29.11.2024;17.10 - 18.40;Социальная геронтология;Лекция;Сретенский Никита Сергеевич;221
СРБ-Б-04-З-2021-1;Пт;29.11.2024;18.50 - 20.20;Проектная деятельность;Иная контактная работа;Андрейковец Дмитрий Кузьмич;221
СРБ-Б-04-З-2021-1;Пт;29.11.2024;20.30 - 22.00;Проектная деятельность;Иная контактная работа;Андрейковец Дмитрий Кузьмич;221
МЕН-Б-3-Д-2023-2;Пт;29.11.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2023-2;Пт;29.11.2024;15.30 - 17.00;Тайм-менеджмент в проектной деятельности;Практическое занятие;Нарвойш Юлия Александровна;405
МЕН-Б-3-Д-2023-2;Пт;29.11.2024;17.10 - 18.40;Анализ данных;Практическое занятие;Федотова Ольга Михайловна;405
МЕН-Б-3-Д-2023-2;Пт;29.11.2024;18.50 - 20.20;Проектная деятельность;Практическое занятие;Михолап Сергей Владимирович;405
МЕН-Б-3-Д-2023-2;Пт;29.11.2024;20.30 - 22.00;Иностранный язык (2 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;405
ПСИ-Б-04-Д-2023-2;Пт;29.11.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Пт;29.11.2024;15.30 - 17.00;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
ПСИ-Б-04-Д-2023-2;Пт;29.11.2024;17.10 - 18.40;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;101
ПСИ-Б-04-Д-2023-2;Пт;29.11.2024;18.50 - 20.20;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;204
ПСИ-Б-04-Д-2023-2;Пт;29.11.2024;20.30 - 22.00;Психология развития и социализации человека;Практическое занятие;Чернявская Ирина Юрьевна;204
ЮСТ-Б-2-Д-2023-2;Пт;29.11.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Пт;29.11.2024;13.50 - 15.20;Административное право;Лекция;Климченя Вячеслав Сергеевич;219
ЮСТ-Б-2-Д-2023-2;Пт;29.11.2024;15.30 - 17.00;Международное право;Практическое занятие;Бочарова Ольга Станиславовна;212
ЮСТ-Б-2-Д-2023-2;Пт;29.11.2024;17.10 - 18.40;Административное право;Практическое занятие;Климченя Вячеслав Сергеевич;219
ЮСТ-Б-2-Д-2023-2;Пт;29.11.2024;18.50 - 20.20;Иностранный язык (3 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;214
МЕН-Б-3-Д-2022-2;Пт;29.11.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Пт;29.11.2024;10.10 - 11.40;Социальное проектирование в системе управления;Практическое занятие;Щемелева Елена Владимировна;203
МЕН-Б-3-Д-2022-1;Пт;29.11.2024;12.10 - 13.40;Социальное проектирование в системе управления;Практическое занятие;Щемелева Елена Владимировна;203
МЕН-Б-3-Д-2022-1;Пт;29.11.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-01-Д-2022-1;Пт;29.11.2024;12.10 - 13.40;Психодиагностика. Экспериментальные и прикладные методы в исследовательской и консультационной практике;Практическое занятие;Ковальчишина Наталья Ивановна;221
ПСИ-Б-01-Д-2022-1;Пт;29.11.2024;13.50 - 15.20;Прикладные исследования и психодиагностика в организации;Практическое занятие;Сутович Елена Иосифовна;204
СРБ-Б-04-Д-2022-1;Пт;29.11.2024;12.10 - 13.40;Технологии социальной работы;Практическое занятие;Сретенский Никита Сергеевич;401
СРБ-Б-04-Д-2022-1;Пт;29.11.2024;13.50 - 15.20;Основы фандрейзинга в социальной сфере;Лекция;Щемелева Елена Владимировна;401
ЮСТ-Б-2-Д-2022-1;Пт;29.11.2024;08.30 - 10.00;Криминология;Практическое занятие;Климова Евгения Ивановна;212
ЮСТ-Б-2-Д-2022-1;Пт;29.11.2024;10.10 - 11.40;Криминология;Практическое занятие;Климова Евгения Ивановна;212
ЮСТ-Б-2-Д-2022-1;Пт;29.11.2024;12.10 - 13.40;Нотариат в РФ;Практическое занятие;Бочарова Ольга Станиславовна;212
ЮСТ-Б-2-Д-2022-1;Пт;29.11.2024;13.50 - 15.20;Ювенальное право;Практическое занятие;Бочарова Ольга Станиславовна;212
ПСИ-Б-01-В-2022-2;Сб;30.11.2024;08.30 - 10.00;Психодиагностика. Экспериментальные и прикладные методы в исследовательской и консультационной практике;Практическое занятие;Ковальчишина Наталья Ивановна;405
